block,mode,kem,signature,median_ms,first_mode
1,warm,ntruplus_kem864,haetae3,4.335729,warm
1,warm,ntruplus_kem768,haetae2,4.071918,warm
1,warm,ntruplus_kem576,aimer256f,11.286799,warm
1,warm,ntruplus_kem1152,aimer192f,6.800512,warm
1,warm,smaug1,aimer128f,3.660275,warm
1,warm,ntruplus_kem864,aimer256f,11.423604,warm
1,warm,ntruplus_kem864,aimer128f,4.081924,warm
1,warm,smaug1,haetae2,3.26234,warm
1,warm,ntruplus_kem768,haetae3,2.812469,warm
1,warm,ntruplus_kem768,haetae5,2.864389,warm
1,warm,ntruplus_kem576,haetae5,3.84893,warm
1,warm,smaug5,haetae2,2.877225,warm
1,warm,ntruplus_kem576,haetae2,3.456314,warm
1,warm,smaug5,aimer192f,6.297616,warm
1,warm,smaug5,haetae3,3.469487,warm
1,warm,ntruplus_kem768,aimer192f,6.483909,warm
1,warm,smaug1,haetae5,4.342776,warm
1,warm,ntruplus_kem864,aimer192f,6.414089,warm
1,warm,smaug1,haetae3,2.959038,warm
1,warm,ntruplus_kem576,aimer192f,6.36811,warm
1,warm,smaug1,aimer192f,6.111119,warm
1,warm,smaug3,aimer256f,10.891031,warm
1,warm,smaug3,aimer192f,6.191164,warm
1,warm,smaug3,aimer128f,3.714442,warm
1,cold,ntruplus_kem768,aimer256f,11.816577,warm
1,cold,smaug3,haetae5,4.817723,warm
1,cold,ntruplus_kem576,aimer128f,4.740037,warm
1,cold,ntruplus_kem1152,haetae3,4.979627,warm
1,cold,ntruplus_kem1152,aimer128f,5.249802,warm
1,cold,ntruplus_kem576,haetae3,4.056831,warm
1,cold,ntruplus_kem864,haetae5,5.295997,warm
1,cold,ntruplus_kem1152,haetae5,7.160696,warm
1,cold,X25519,EC,1.756564,warm
1,cold,ntruplus_kem1152,haetae2,4.5366,warm
1,cold,ntruplus_kem864,haetae2,4.119228,warm
1,cold,smaug5,haetae5,4.175788,warm
1,cold,smaug5,aimer128f,4.620046,warm
1,cold,smaug3,haetae3,6.17754,warm
1,cold,ntruplus_kem1152,aimer256f,12.023018,warm
1,cold,smaug1,aimer256f,11.430068,warm
1,cold,smaug3,haetae2,4.181419,warm
1,cold,ntruplus_kem768,aimer128f,4.695756,warm
1,cold,smaug5,aimer256f,11.642912,warm
1,cold,ntruplus_kem864,haetae3,5.127967,warm
1,cold,ntruplus_kem768,haetae2,4.158331,warm
1,cold,ntruplus_kem576,aimer256f,11.758395,warm
1,cold,ntruplus_kem1152,aimer192f,7.301024,warm
1,cold,smaug1,aimer128f,4.622609,warm
1,cold,ntruplus_kem864,aimer256f,11.896925,warm
1,cold,ntruplus_kem864,aimer128f,4.787068,warm
1,cold,smaug1,haetae2,3.955292,warm
1,cold,ntruplus_kem768,haetae3,4.800081,warm
1,cold,ntruplus_kem768,haetae5,4.226855,warm
1,cold,ntruplus_kem576,haetae5,4.614172,warm
1,cold,smaug5,haetae2,4.64337,warm
1,cold,ntruplus_kem576,haetae2,4.212502,warm
1,cold,smaug5,aimer192f,6.882115,warm
1,cold,smaug5,haetae3,4.26904,warm
1,cold,ntruplus_kem768,aimer192f,7.103121,warm
1,cold,smaug1,haetae5,3.822656,warm
1,cold,ntruplus_kem864,aimer192f,7.022843,warm
1,cold,smaug1,haetae3,3.631232,warm
1,cold,ntruplus_kem576,aimer192f,7.007567,warm
1,cold,smaug1,aimer192f,6.935078,warm
1,cold,smaug3,aimer256f,11.554812,warm
1,cold,smaug3,aimer192f,6.827441,warm
1,cold,smaug3,aimer128f,4.612105,warm
2,cold,ntruplus_kem864,haetae2,4.946929,cold
2,cold,smaug1,aimer256f,11.548927,cold
2,cold,smaug3,aimer192f,6.84741,cold
2,cold,ntruplus_kem1152,haetae2,4.191659,cold
2,cold,ntruplus_kem864,haetae5,5.84364,cold
2,cold,smaug5,aimer192f,6.9103,cold
2,cold,smaug1,haetae5,6.656295,cold
2,cold,ntruplus_kem1152,aimer256f,12.126676,cold
2,cold,ntruplus_kem1152,haetae5,4.550953,cold
2,cold,ntruplus_kem576,aimer256f,11.666238,cold
2,cold,smaug3,aimer256f,11.625059,cold
2,cold,smaug5,haetae2,3.567316,cold
2,cold,ntruplus_kem1152,haetae3,4.011181,cold
2,cold,smaug1,aimer128f,4.472963,cold
2,cold,ntruplus_kem576,haetae3,3.842517,cold
2,cold,smaug5,haetae3,4.196035,cold
2,cold,ntruplus_kem1152,aimer128f,5.174302,cold
2,cold,ntruplus_kem768,aimer128f,4.833306,cold
2,cold,ntruplus_kem576,aimer128f,4.715238,cold
2,cold,ntruplus_kem576,aimer192f,7.010255,cold
2,cold,ntruplus_kem576,haetae5,4.249957,cold
2,cold,smaug1,aimer192f,6.767447,cold
2,cold,smaug5,haetae5,4.922797,cold
2,cold,smaug3,haetae2,4.362107,cold
2,cold,smaug3,haetae5,4.033138,cold
2,cold,smaug1,haetae2,4.35898,cold
2,cold,ntruplus_kem768,aimer192f,7.153609,cold
2,cold,ntruplus_kem768,haetae3,4.421572,cold
2,cold,ntruplus_kem768,aimer256f,11.903529,cold
2,cold,smaug5,aimer256f,11.789403,cold
2,cold,X25519,EC,1.820582,cold
2,cold,ntruplus_kem768,haetae2,4.993824,cold
2,cold,smaug3,haetae3,4.73011,cold
2,cold,smaug3,aimer128f,4.526255,cold
2,cold,ntruplus_kem1152,aimer192f,7.276482,cold
2,cold,ntruplus_kem768,haetae5,4.635684,cold
2,cold,smaug1,haetae3,4.413958,cold
2,cold,ntruplus_kem864,aimer192f,6.92274,cold
2,cold,ntruplus_kem864,haetae3,4.521854,cold
2,cold,ntruplus_kem864,aimer128f,4.894436,cold
2,cold,ntruplus_kem864,aimer256f,11.881915,cold
2,cold,ntruplus_kem576,haetae2,4.597896,cold
2,cold,smaug5,aimer128f,4.666829,cold
2,warm,ntruplus_kem864,haetae2,3.621749,cold
2,warm,smaug1,aimer256f,10.883651,cold
2,warm,smaug3,aimer192f,6.303576,cold
2,warm,ntruplus_kem1152,haetae2,4.513079,cold
2,warm,ntruplus_kem864,haetae5,4.213576,cold
2,warm,smaug5,aimer192f,6.28618,cold
2,warm,smaug1,haetae5,4.371674,cold
2,warm,ntruplus_kem1152,aimer256f,11.127012,cold
2,warm,ntruplus_kem1152,haetae5,4.249549,cold
2,warm,ntruplus_kem576,aimer256f,11.148829,cold
2,warm,smaug3,aimer256f,11.110255,cold
2,warm,smaug5,haetae2,3.519151,cold
2,warm,ntruplus_kem1152,haetae3,4.302624,cold
2,warm,smaug1,aimer128f,3.6554,cold
2,warm,ntruplus_kem576,haetae3,2.718051,cold
2,warm,smaug5,haetae3,2.714923,cold
2,warm,ntruplus_kem1152,aimer128f,4.241519,cold
2,warm,ntruplus_kem768,aimer128f,3.895259,cold
2,warm,ntruplus_kem576,aimer128f,3.8033,cold
2,warm,ntruplus_kem576,aimer192f,6.393986,cold
2,warm,ntruplus_kem576,haetae5,2.990595,cold
2,warm,smaug1,aimer192f,6.054375,cold
2,warm,smaug5,haetae5,6.792093,cold
2,warm,smaug3,haetae2,3.191858,cold
2,warm,smaug3,haetae5,4.499272,cold
2,warm,smaug1,haetae2,2.840848,cold
2,warm,ntruplus_kem768,aimer192f,6.439226,cold
2,warm,ntruplus_kem768,haetae3,2.973057,cold
2,warm,ntruplus_kem768,aimer256f,11.146634,cold
2,warm,smaug5,aimer256f,11.00944,cold
2,warm,X25519,EC,0.798098,cold
2,warm,ntruplus_kem768,haetae2,4.176642,cold
2,warm,smaug3,haetae3,2.63503,cold
2,warm,smaug3,aimer128f,3.762178,cold
2,warm,ntruplus_kem1152,aimer192f,6.682262,cold
2,warm,ntruplus_kem768,haetae5,3.531292,cold
2,warm,smaug1,haetae3,3.305522,cold
2,warm,ntruplus_kem864,aimer192f,6.408621,cold
2,warm,ntruplus_kem864,haetae3,3.058385,cold
2,warm,ntruplus_kem864,aimer128f,4.007682,cold
2,warm,ntruplus_kem864,aimer256f,11.206147,cold
2,warm,ntruplus_kem576,haetae2,2.926824,cold
2,warm,smaug5,aimer128f,3.802746,cold
3,warm,smaug1,aimer192f,6.268833,warm
3,warm,ntruplus_kem768,aimer192f,6.491434,warm
3,warm,smaug1,haetae3,4.240114,warm
3,warm,ntruplus_kem864,haetae5,4.68816,warm
3,warm,ntruplus_kem1152,aimer128f,4.115166,warm
3,warm,ntruplus_kem864,aimer128f,3.973172,warm
3,warm,smaug1,aimer128f,3.550999,warm
3,warm,ntruplus_kem576,aimer256f,11.197375,warm
3,warm,smaug3,haetae2,2.825678,warm
3,warm,ntruplus_kem1152,haetae3,3.340722,warm
3,warm,ntruplus_kem1152,aimer192f,6.6252,warm
3,warm,smaug1,aimer256f,10.931051,warm
3,warm,ntruplus_kem576,haetae3,3.30358,warm
3,warm,ntruplus_kem768,aimer256f,11.340963,warm
3,warm,ntruplus_kem768,aimer128f,3.927795,warm
3,warm,smaug5,aimer192f,6.264586,warm
3,warm,smaug3,haetae5,2.623352,warm
3,warm,smaug5,haetae3,4.232329,warm
3,warm,X25519,EC,0.842392,warm
3,warm,ntruplus_kem768,haetae2,3.352789,warm
3,warm,smaug3,aimer256f,10.9504,warm
3,warm,smaug3,haetae3,4.023727,warm
3,warm,smaug3,aimer128f,3.655487,warm
3,warm,smaug5,aimer128f,3.903682,warm
3,warm,ntruplus_kem576,aimer192f,6.327735,warm
3,warm,ntruplus_kem768,haetae3,3.658794,warm
3,warm,ntruplus_kem768,haetae5,3.30309,warm
3,warm,ntruplus_kem1152,haetae5,3.617942,warm
3,warm,smaug5,haetae2,3.809729,warm
3,warm,ntruplus_kem576,haetae2,3.617298,warm
3,warm,ntruplus_kem864,aimer192f,6.518867,warm
3,warm,ntruplus_kem1152,aimer256f,11.51432,warm
3,warm,smaug1,haetae5,4.913044,warm
3,warm,ntruplus_kem864,haetae3,4.683753,warm
3,warm,ntruplus_kem576,aimer128f,3.985419,warm
3,warm,ntruplus_kem1152,haetae2,3.510997,warm
3,warm,smaug5,haetae5,3.141496,warm
3,warm,smaug1,haetae2,2.771224,warm
3,warm,ntruplus_kem576,haetae5,4.112199,warm
3,warm,smaug3,aimer192f,6.348092,warm
3,warm,ntruplus_kem864,aimer256f,11.283598,warm
3,warm,smaug5,aimer256f,11.012035,warm
3,warm,ntruplus_kem864,haetae2,3.023801,warm
3,cold,smaug1,aimer192f,6.840814,warm
3,cold,ntruplus_kem768,aimer192f,7.013274,warm
3,cold,smaug1,haetae3,3.793616,warm
3,cold,ntruplus_kem864,haetae5,4.7364,warm
3,cold,ntruplus_kem1152,aimer128f,5.220141,warm
3,cold,ntruplus_kem864,aimer128f,4.844664,warm
3,cold,smaug1,aimer128f,4.468576,warm
3,cold,ntruplus_kem576,aimer256f,11.729203,warm
3,cold,smaug3,haetae2,4.488118,warm
3,cold,ntruplus_kem1152,haetae3,4.750616,warm
3,cold,ntruplus_kem1152,aimer192f,7.474726,warm
3,cold,smaug1,aimer256f,11.36135,warm
3,cold,ntruplus_kem576,haetae3,4.106189,warm
3,cold,ntruplus_kem768,aimer256f,11.843446,warm
3,cold,ntruplus_kem768,aimer128f,4.721005,warm
3,cold,smaug5,aimer192f,6.987712,warm
3,cold,smaug3,haetae5,3.631814,warm
3,cold,smaug5,haetae3,4.521321,warm
3,cold,X25519,EC,1.61364,warm
3,cold,ntruplus_kem768,haetae2,4.628886,warm
3,cold,smaug3,aimer256f,11.495953,warm
3,cold,smaug3,haetae3,5.095703,warm
3,cold,smaug3,aimer128f,4.649897,warm
3,cold,smaug5,aimer128f,4.845104,warm
3,cold,ntruplus_kem576,aimer192f,6.975526,warm
3,cold,ntruplus_kem768,haetae3,3.755772,warm
3,cold,ntruplus_kem768,haetae5,6.026283,warm
3,cold,ntruplus_kem1152,haetae5,4.455957,warm
3,cold,smaug5,haetae2,4.725127,warm
3,cold,ntruplus_kem576,haetae2,4.43386,warm
3,cold,ntruplus_kem864,aimer192f,7.123821,warm
3,cold,ntruplus_kem1152,aimer256f,12.2567,warm
3,cold,smaug1,haetae5,4.136874,warm
3,cold,ntruplus_kem864,haetae3,4.719757,warm
3,cold,ntruplus_kem576,aimer128f,4.723322,warm
3,cold,ntruplus_kem1152,haetae2,4.013271,warm
3,cold,smaug5,haetae5,4.261859,warm
3,cold,smaug1,haetae2,3.983175,warm
3,cold,ntruplus_kem576,haetae5,4.511001,warm
3,cold,smaug3,aimer192f,6.847499,warm
3,cold,ntruplus_kem864,aimer256f,11.776873,warm
3,cold,smaug5,aimer256f,11.517477,warm
3,cold,ntruplus_kem864,haetae2,4.420456,warm
4,warm,ntruplus_kem768,aimer128f,3.963799,warm
4,warm,smaug5,aimer256f,10.974345,warm
4,warm,smaug3,haetae2,3.216317,warm
4,warm,ntruplus_kem768,aimer192f,6.415778,warm
