kem,signature,paired_blocks,median_warm_cold_ratio,cold_first_median_ratio,warm_first_median_ratio
X25519,EC,10,0.4745800894533396,0.4683908837310681,0.5148648738137968
ntruplus_kem1152,aimer128f,10,0.8139695287937494,0.8195899063936526,0.8039435826240922
ntruplus_kem1152,aimer192f,10,0.9181923795569393,0.918336910611474,0.9156570535945623
ntruplus_kem1152,aimer256f,10,0.938684383656043,0.9379380885812694,0.9394306787308165
ntruplus_kem1152,haetae2,10,0.824080529231396,0.8222408179962858,0.8257314856549622
ntruplus_kem1152,haetae3,10,0.7542126710321015,0.7599009255638118,0.7309133625377774
ntruplus_kem1152,haetae5,10,0.6593182452562332,0.6948038779475902,0.6238326125648761
ntruplus_kem576,aimer128f,10,0.8055438303494982,0.8044899873684032,0.8103939728516333
ntruplus_kem576,aimer192f,10,0.9079406926979483,0.9050762591739517,0.9087476437970553
ntruplus_kem576,aimer256f,10,0.9538978588001069,0.9488052053187326,0.9593452131561906
ntruplus_kem576,haetae2,10,0.6852978852434721,0.6627830756189506,0.8204895807764602
ntruplus_kem576,haetae3,10,0.7898163214745562,0.707362127480503,0.8045367614593484
ntruplus_kem576,haetae5,10,0.8331882472712759,0.76029792265206,0.8341539933925307
ntruplus_kem768,aimer128f,10,0.8069212826954812,0.8059202127901688,0.8079223526007937
ntruplus_kem768,aimer192f,10,0.9081568419200514,0.9001367002306108,0.9128253622597728
ntruplus_kem768,aimer256f,10,0.9492750281960133,0.9492317620912497,0.9493182943007769
ntruplus_kem768,haetae2,10,0.8114329812112806,0.8852168358893039,0.7809337005170011
ntruplus_kem768,haetae3,10,0.8125250264499999,0.7675985983713393,0.8726029229381845
ntruplus_kem768,haetae5,10,0.7817021892082028,0.8870995737462117,0.6776643627472436
ntruplus_kem864,aimer128f,10,0.8449361426505746,0.8412902575441297,0.8485820277570195
ntruplus_kem864,aimer192f,10,0.9102628836739985,0.9070538958365479,0.9119454506604784
ntruplus_kem864,aimer256f,10,0.9489373475919315,0.9431263394831557,0.9546209787598754
ntruplus_kem864,haetae2,10,0.8000378267802917,0.7321206752714664,0.9053247138920276
ntruplus_kem864,haetae3,10,0.8310351961883716,0.7068644239526196,0.8455064160904311
ntruplus_kem864,haetae5,10,0.790683697585007,0.7210533160838107,0.8971931064160347
smaug1,aimer128f,10,0.7932401245081198,0.7883786132634703,0.7946600885830296
smaug1,aimer192f,10,0.9109366147677305,0.8985347227653372,0.9121384969630467
smaug1,aimer256f,10,0.9490761420123015,0.9424243889194139,0.9521104254445327
smaug1,haetae2,10,0.6905578894098907,0.6517231095347994,0.7074035796495513
smaug1,haetae3,10,0.7678904703905373,0.7488793504605163,0.8148854162994819
smaug1,haetae5,10,0.908707464303204,0.8385226150712508,1.1360624654690352
smaug3,aimer128f,10,0.8050583187653442,0.8081176942079317,0.804748589752071
smaug3,aimer192f,10,0.9081365791311207,0.8983427705851543,0.9094672261421396
smaug3,aimer256f,10,0.9467613487567874,0.9380888561263975,0.9495661926722121
smaug3,haetae2,10,0.7293966796595438,0.8435031069820011,0.7071445693119428
smaug3,haetae3,10,0.742531100233409,0.7020102802842773,0.7830519201825406
smaug3,haetae5,10,0.9882079571878075,1.095650797479996,0.7223255375963638
smaug5,aimer128f,10,0.8103462910401931,0.812158507402496,0.805696224477328
smaug5,aimer192f,10,0.914758667763484,0.9175182961375146,0.9144474769151895
smaug5,aimer256f,10,0.9448523897946606,0.9338420274546556,0.9491694437745976
smaug5,haetae2,10,0.8328669826148787,0.9864982524676816,0.70202356044179
smaug5,haetae3,10,0.8268804784611005,0.6677740569402403,0.8410520106485657
smaug5,haetae5,10,0.8076909916293293,0.8782632752019164,0.7371187080567423
