mode,kem,signature,analyzed_n,client_handshake_median_ms,client_cpu_median_ms,server_cpu_median_ms,client_peak_rss_growth_median_kib,server_peak_rss_growth_median_kib
warm,ntruplus_kem768,aimer256f,15,10.306802,5.286,5.547,-1,-1
warm,ntruplus_kem864,haetae2,15,2.710056,1.268,1.865,-1,-1
warm,ntruplus_kem864,haetae3,15,2.915831,1.357,1.934,-1,-1
warm,ntruplus_kem864,haetae5,15,3.822367,1.461,2.734,-1,-1
warm,ntruplus_kem864,aimer128f,15,3.446654,1.919,1.988,-1,-1
warm,ntruplus_kem864,aimer192f,15,5.657541,3.064,3.195,-1,-1
warm,ntruplus_kem864,aimer256f,15,10.308186,5.338,5.588,-1,-1
warm,ntruplus_kem1152,haetae2,15,2.803815,1.403,1.862,-1,-1
warm,ntruplus_kem1152,haetae3,15,3.041275,1.519,2.076,-1,-1
warm,ntruplus_kem1152,haetae5,15,4.004302,1.559,2.78,-1,-1
warm,ntruplus_kem1152,aimer128f,15,3.774363,2.096,2.15,-1,-1
warm,ntruplus_kem1152,aimer192f,15,6.009445,3.234,3.303,-1,-1
warm,ntruplus_kem1152,aimer256f,15,10.528775,5.456,5.664,-1,-1
memory,X25519,EC,3,1.444433,0.693,0.585,460,420
memory,smaug1,haetae2,3,3.641342,1.487,1.972,808,776
memory,smaug1,haetae3,3,3.412534,1.623,2.049,832,808
memory,smaug1,haetae5,3,6.224306,1.616,4.884,916,924
memory,smaug1,aimer128f,3,4.059463,2.182,2.178,648,728
memory,smaug1,aimer192f,3,6.153268,3.295,3.39,876,1088
memory,smaug1,aimer256f,3,10.566796,5.396,5.766,920,1100
memory,smaug3,haetae2,3,3.871938,1.559,2.172,888,744
memory,smaug3,haetae3,3,3.590991,1.667,2.255,892,816
memory,smaug3,haetae5,3,3.248215,1.671,1.897,896,992
memory,smaug3,aimer128f,3,4.165727,2.254,2.24,736,784
memory,smaug3,aimer192f,3,6.196006,3.355,3.462,864,988
memory,smaug3,aimer256f,3,10.811335,5.663,5.776,892,1132
memory,smaug5,haetae2,3,3.529778,1.582,2.087,828,988
memory,smaug5,haetae3,3,4.141161,1.706,2.782,880,924
memory,smaug5,haetae5,3,3.684863,1.724,2.143,956,980
memory,smaug5,aimer128f,3,4.104794,2.238,2.343,864,628
memory,smaug5,aimer192f,3,6.313062,3.352,3.58,828,1088
memory,smaug5,aimer256f,3,10.713397,5.624,5.812,904,1172
memory,ntruplus_kem576,haetae2,3,3.997963,1.625,2.142,928,972
memory,ntruplus_kem576,haetae3,3,4.191892,1.69,2.857,892,1008
memory,ntruplus_kem576,haetae5,3,4.571967,1.784,3.149,912,928
memory,ntruplus_kem576,aimer128f,3,4.247272,2.342,2.312,868,856
memory,ntruplus_kem576,aimer192f,3,6.273369,3.384,3.474,892,1056
memory,ntruplus_kem576,aimer256f,3,10.791303,5.675,5.828,900,1180
memory,ntruplus_kem768,haetae2,3,4.385386,1.705,2.511,936,740
memory,ntruplus_kem768,haetae3,3,3.61238,1.747,2.083,896,844
memory,ntruplus_kem768,haetae5,3,3.536582,1.736,2.218,928,908
memory,ntruplus_kem768,aimer128f,3,4.410827,2.429,2.393,812,912
memory,ntruplus_kem768,aimer192f,3,6.521295,3.571,3.596,884,1060
memory,ntruplus_kem768,aimer256f,3,10.812522,5.747,5.907,872,1248
memory,ntruplus_kem864,haetae2,3,3.943601,1.779,2.69,936,912
memory,ntruplus_kem864,haetae3,3,3.961931,1.877,2.703,912,828
memory,ntruplus_kem864,haetae5,3,3.530137,1.856,2.087,840,868
memory,ntruplus_kem864,aimer128f,3,4.349647,2.433,2.408,920,848
memory,ntruplus_kem864,aimer192f,3,6.546253,3.569,3.623,952,1000
memory,ntruplus_kem864,aimer256f,3,10.915732,5.659,5.973,940,1252
memory,ntruplus_kem1152,haetae2,3,3.338052,1.845,2.151,952,984
memory,ntruplus_kem1152,haetae3,3,3.900345,1.893,2.396,892,884
memory,ntruplus_kem1152,haetae5,3,4.598256,2.023,2.999,980,880
memory,ntruplus_kem1152,aimer128f,3,4.629568,2.603,2.569,916,848
memory,ntruplus_kem1152,aimer192f,3,6.619962,3.597,3.622,892,1096
memory,ntruplus_kem1152,aimer256f,3,11.079654,6.085,5.955,876,1220
